track_id,class,direction,avg_speed_kmh,max_speed_kmh,frame_count
1,car,East,8.5,11.6,128
2,car,North,1.1,11.0,1126
3,car,North,1.4,13.3,1168
4,car,West,1.1,15.9,2379
5,car,North,1.5,8.8,875
6,car,North,1.6,8.9,954
7,car,East,14.6,32.7,122
8,car,East,7.0,12.5,195
9,car,North,1.1,12.0,1090
10,car,East,9.5,12.3,111
11,car,South,15.7,34.0,53
12,car,North,2.2,18.4,1189
13,car,South,0.7,10.6,1439
14,car,East,5.6,8.7,185
15,car,North,0.2,0.7,572
16,car,South,0.4,6.3,604
17,car,South,0.1,1.0,222
18,car,South,0.2,0.8,369
19,car,South,16.2,18.1,5
20,car,South,9.9,18.7,197
21,car,East,10.2,12.5,115
22,car,East,17.2,22.3,113
23,car,East,6.4,9.8,8
24,car,South,0,0.0,1
26,car,unknown,0,0.0,0
25,car,East,8.0,11.5,257
27,truck,East,5.9,7.1,13
28,car,East,12.5,13.7,3
29,car,West,1.2,21.7,2240
30,car,unknown,0,0.0,0
31,car,unknown,0,0.0,0
32,car,North,10.1,17.6,33
33,car,West,40.2,40.2,2
34,car,unknown,0,0.0,0
35,car,East,8.7,11.8,220
36,car,East,12.9,17.5,146
37,car,unknown,0,0.0,0
38,truck,South,9.4,10.6,10
39,car,South,13.4,16.8,6
40,car,East,12.9,18.1,171
41,car,East,6.2,11.8,22
42,car,South,12.4,13.0,5
43,car,East,9.1,11.0,195
44,car,unknown,0,0.0,0
45,car,unknown,0,0.0,0
46,truck,unknown,0,0.0,0
47,car,East,13.4,18.0,162
48,car,South,0.0,0.1,131
49,car,West,0,0.0,1
50,car,South,11.0,11.4,3
51,car,West,0.1,0.2,12
52,car,East,9.9,11.6,209
53,car,West,0.1,0.1,6
54,car,South,0.6,1.0,5
55,car,unknown,0,0.0,0
56,car,unknown,0,0.0,0
57,car,unknown,0,0.0,0
58,car,West,0.2,0.3,8
59,car,East,0.4,2.2,30
60,car,East,12.6,17.3,168
61,car,West,0.4,0.4,2
62,car,West,0.1,0.3,9
63,car,unknown,0,0.0,0
64,car,unknown,0,0.0,0
65,car,South,8.7,10.0,12
66,car,West,0.1,0.1,16
67,car,unknown,0,0.0,0
68,car,West,0.4,0.4,2
69,car,West,0.1,0.3,9
70,car,West,0.0,0.2,36
71,car,East,6.7,16.9,223
72,car,East,0.9,10.1,2257
73,car,South,0.3,4.0,34
74,car,South,11.6,26.1,107
75,car,South,4.4,11.8,244
76,car,South,48.7,77.1,4
77,car,unknown,0,0.0,0
78,car,South,1.2,7.9,464
79,car,unknown,0,0.0,0
80,car,East,1.0,11.0,2038
81,car,East,0.7,15.5,3077
82,car,South,0.1,0.2,158
83,car,North,5.8,9.4,271
84,truck,unknown,0,0.0,0
85,car,South,0.2,1.1,134
86,car,North,15.2,20.8,4
87,car,South,0.8,6.4,77
88,car,North,5.8,11.6,199
89,car,West,1.9,31.9,1440
90,car,North,9.6,20.6,291
91,car,East,1.6,6.9,331
92,car,North,8.9,13.8,197
93,car,unknown,0,0.0,0
94,car,unknown,0,0.0,0
95,car,East,9.3,12.2,110
96,car,East,1.1,11.1,1686
97,car,South,0.0,1.3,1178
98,car,South,0.0,0.1,39
99,car,East,0.6,4.1,264
100,car,North,9.2,13.2,207
101,car,North,11.0,14.8,165
102,car,North,10.4,13.5,198
103,car,unknown,0,0.0,0
104,car,South,0.1,0.5,14
105,car,unknown,0,0.0,0
106,car,West,2.2,21.5,1237
107,car,North,9.3,19.6,106
108,car,South,7.2,16.9,224
109,car,West,9.1,15.0,6
110,car,unknown,0,0.0,0
111,car,South,0.2,0.3,9
112,car,North,9.6,13.6,6
113,car,unknown,0,0.0,0
114,car,North,13.0,20.3,218
115,car,unknown,0,0.0,0
116,car,unknown,0,0.0,0
117,car,West,2.0,15.6,1022
118,car,unknown,0,0.0,0
119,car,North,9.7,13.4,3
120,car,unknown,0,0.0,0
121,car,South,0.6,11.9,698
122,car,North,13.6,15.5,98
123,car,South,10.1,25.5,166
124,car,South,8.7,17.4,136
125,car,South,0.3,0.3,2
126,car,North,13.9,15.2,136
127,car,unknown,0,0.0,0
128,car,West,20.1,23.1,66
129,car,West,2.3,16.7,1079
130,car,unknown,0,0.0,0
131,car,North,9.2,14.7,19
132,car,unknown,0,0.0,0
133,car,unknown,0,0.0,0
134,car,South,11.6,89.2,149
135,car,South,7.9,28.5,158
136,car,South,4.8,5.2,3
137,car,North,9.4,9.4,2
138,car,North,12.5,17.1,176
139,car,North,15.1,18.5,111
140,car,South,7.7,22.2,180
141,car,North,1.1,10.7,431
142,car,South,9.7,105.8,134
143,car,unknown,0,0.0,0
144,car,unknown,0,0.0,0
145,car,South,19.5,49.1,127
146,car,South,11.8,39.6,92
147,car,South,9.4,24.8,158
148,car,North,13.5,21.8,152
149,car,North,14.8,19.8,94
150,car,unknown,0,0.0,0
151,car,North,13.1,19.1,205
152,car,West,6.6,6.6,2
153,car,North,10.5,12.5,5
154,car,North,15.3,18.0,87
155,car,South,10.0,33.2,135
156,car,North,14.9,16.4,127
157,car,East,15.3,21.6,14
158,car,South,10.0,31.9,205
159,car,North,12.6,15.2,125
160,truck,unknown,0,0.0,0
161,car,North,15.9,21.6,120
162,car,unknown,0,0.0,0
163,truck,unknown,0,0.0,0
164,truck,unknown,0,0.0,0
165,car,unknown,0,0.0,0
166,car,North,0.6,10.2,2711
167,car,North,11.1,16.7,210
168,car,unknown,0,0.0,0
169,car,North,16.3,36.9,117
170,car,West,9.5,17.1,191
171,car,East,0.1,0.5,125
172,car,East,0.4,4.4,1724
173,car,South,16.4,47.9,132
174,car,East,6.5,7.8,24
175,truck,unknown,0,0.0,0
176,car,North,0.8,9.9,2762
177,car,East,0.1,0.1,3
178,car,South,15.1,59.0,158
179,car,North,14.2,19.4,165
180,car,South,24.8,29.2,4
181,car,South,13.1,39.9,132
182,car,East,0.4,1.7,66
183,car,North,0.5,8.3,2685
184,car,South,5.6,5.6,2
185,car,unknown,0,0.0,0
186,car,West,0,0.0,1
187,car,South,10.9,38.8,156
188,car,North,0.8,0.9,4
189,car,South,3.9,10.9,203
190,car,unknown,0,0.0,0
191,car,South,20.7,70.5,72
192,car,North,0.4,2.4,11
193,car,East,0.1,0.4,149
194,car,West,13.8,14.1,8
195,car,North,19.5,19.8,3
196,car,East,1.0,13.6,1760
197,car,East,3.0,10.6,746
198,car,North,0.9,12.8,2502
199,car,unknown,0,0.0,0
200,car,West,11.0,21.9,239
201,truck,unknown,0,0.0,0
202,car,South,15.3,34.8,48
203,car,West,12.5,23.8,214
204,car,South,0,0.0,1
205,car,West,13.3,20.4,164
206,car,South,0.4,7.9,2724
207,car,West,12.1,24.8,226
208,car,South,0.1,0.4,25
209,car,South,0.0,0.1,73
210,car,West,9.9,12.7,17
211,car,West,14.2,18.6,156
212,car,West,12.8,26.9,201
213,car,unknown,0,0.0,0
214,car,unknown,0,0.0,0
215,car,unknown,0,0.0,0
216,car,West,14.5,30.4,189
217,car,unknown,0,0.0,0
218,car,South,0.0,0.1,304
219,car,West,13.9,29.5,205
220,car,North,0.9,11.6,2504
221,car,North,0.1,0.1,9
222,car,West,14.5,32.2,201
223,car,East,15.5,17.9,8
225,car,East,4.0,6.5,256
224,car,unknown,0,0.0,0
226,car,unknown,0,0.0,0
227,car,West,16.2,30.0,174
228,car,North,0.1,0.1,2
229,car,East,5.2,7.4,276
230,car,unknown,0,0.0,0
231,car,East,16.5,27.6,45
232,car,North,0.2,0.4,3
233,car,North,0,0.0,1
234,car,unknown,0,0.0,0
235,car,North,0.3,0.4,8
236,car,East,19.0,24.8,121
237,car,North,1.4,18.8,1833
238,car,North,0,0.0,1
239,car,West,16.4,23.6,123
240,car,West,7.0,58.5,374
241,car,South,0.0,1.5,587
242,car,West,13.2,13.5,4
243,car,East,11.8,14.1,3
244,car,South,0.8,10.8,1865
245,car,East,16.4,19.6,115
246,car,West,11.5,12.0,3
247,car,South,3.4,3.4,2
248,truck,unknown,0,0.0,0
249,car,West,29.4,31.5,57
250,car,East,10.8,16.1,210
251,car,South,15.7,15.7,2
252,car,East,10.0,13.4,5
253,car,East,9.0,12.3,145
254,car,East,16.7,22.5,133
255,car,unknown,0,0.0,0
256,car,East,8.0,8.8,3
257,car,East,3.5,7.1,91
258,car,East,16.9,35.1,134
259,car,East,13.7,31.1,157
260,car,East,9.2,13.2,172
261,car,unknown,0,0.0,0
262,car,South,0.1,0.4,9
263,car,East,9.4,12.1,172
264,car,unknown,0,0.0,0
265,car,East,9.7,17.4,208
266,car,East,1.1,1.5,4
267,car,unknown,0,0.0,0
268,car,unknown,0,0.0,0
269,car,South,11.1,37.9,176
270,car,South,0.0,0.3,219
271,car,East,12.4,16.1,160
272,car,East,12.3,16.7,172
273,car,East,13.1,18.5,173
274,car,unknown,0,0.0,0
275,car,South,25.6,30.6,5
276,car,South,0.4,2.2,21
277,car,East,13.9,22.1,145
278,car,East,14.2,14.4,3
279,car,South,10.2,44.7,195
280,car,unknown,0,0.0,0
281,car,East,0.8,2.3,14
282,truck,unknown,0,0.0,0
283,car,West,14.9,17.0,8
284,car,West,1.1,13.2,1684
285,car,unknown,0,0.0,0
286,car,unknown,0,0.0,0
287,car,South,1.3,16.1,120
288,car,West,0,0.0,1
289,car,East,0,0.0,1
290,car,West,1.5,16.3,1842
291,car,East,16.1,26.5,124
292,car,South,9.8,12.3,5
293,car,East,6.7,13.9,265
294,car,South,10.8,10.8,2
295,car,West,0,0.0,1
296,car,North,3.8,13.0,618
297,car,South,4.8,11.7,244
298,car,unknown,0,0.0,0
299,car,South,0.0,0.2,60
300,car,West,1.7,14.5,1631
301,car,North,3.4,3.4,2
302,car,South,5.7,13.1,215
303,car,South,3.2,13.0,549
304,car,South,0.1,0.2,162
305,car,unknown,0,0.0,0
306,car,West,5.5,5.5,3
307,car,unknown,0,0.0,0
308,car,unknown,0,0.0,0
309,car,South,3.4,10.3,145
310,car,unknown,0,0.0,0
311,car,West,1.9,18.9,1500
312,car,West,5.8,6.6,21
313,car,unknown,0,0.0,0
314,car,West,1.8,20.3,1474
315,car,North,5.2,19.1,38
316,car,East,10.8,13.8,8
317,car,unknown,0,0.0,0
318,car,unknown,0,0.0,0
319,car,West,1.7,15.7,1360
320,car,unknown,0,0.0,0
321,car,East,9.8,13.0,97
322,car,West,0.5,1.2,12
323,truck,North,8.4,11.8,180
324,car,South,0.0,1.4,1819
325,car,South,3.6,15.0,340
326,car,North,12.0,15.6,20
327,car,South,3.3,7.0,9
328,car,South,4.8,18.7,98
329,car,North,4.8,5.4,26
330,car,unknown,0,0.0,0
331,car,South,9.8,11.8,3
332,car,East,0,0.0,1
333,car,North,10.4,11.9,133
334,car,East,10.8,11.9,8
335,car,unknown,0,0.0,0
336,car,West,1.9,17.1,1251
337,car,East,8.2,9.6,100
338,car,South,5.7,8.3,76
339,truck,East,12.2,13.4,22
340,car,North,12.0,24.8,194
341,car,South,11.4,11.4,2
342,car,North,11.6,13.4,151
343,car,West,0.0,0.1,17
344,car,North,13.4,22.1,147
345,car,East,10.6,12.1,83
346,car,North,11.5,16.9,205
347,car,unknown,0,0.0,0
348,car,South,9.2,19.4,128
349,truck,North,12.3,12.3,2
350,car,North,10.7,16.0,268
351,bus,South,7.3,7.3,2
352,bus,unknown,0,0.0,0
353,car,East,10.2,13.7,122
354,car,South,11.0,15.8,25
355,car,East,10.0,11.8,83
356,car,North,9.8,13.6,198
357,car,South,8.8,22.9,169
358,car,unknown,0,0.0,0
359,car,South,9.4,24.4,159
360,car,North,17.7,17.7,2
361,car,South,12.9,57.1,129
362,car,unknown,0,0.0,0
363,car,unknown,0,0.0,0
364,car,West,0.0,0.3,42
365,car,South,0,0.0,1
366,car,West,1.9,3.0,7
367,car,unknown,0,0.0,0
368,car,unknown,0,0.0,0
369,car,South,7.0,21.9,201
370,car,unknown,0,0.0,0
371,car,unknown,0,0.0,0
372,car,unknown,0,0.0,0
373,car,West,0.3,1.2,126
374,car,South,13.8,45.8,81
375,car,North,13.9,15.3,11
376,car,unknown,0,0.0,0
377,car,East,5.5,11.5,305
378,car,South,8.9,41.4,219
379,truck,North,12.5,19.5,18
380,car,West,5.7,21.9,474
381,car,North,6.5,17.8,301
382,car,North,0,0.0,1
383,car,South,5.4,13.9,236
384,car,South,0.1,3.3,2255
385,car,South,30.0,36.5,34
386,car,West,6.5,16.5,297
387,car,West,5.1,9.2,177
388,car,East,0.3,1.1,50
389,car,South,2.9,3.2,10
390,car,unknown,0,0.0,0
